EXTRACT_DATE,ORGANISATION_URI,ORGANISATION_LABEL,SERVICE_TYPE_URI,SERVICE_TYPE_LABEL,ELECTION_DATE,ELECTION_TYPE,AREA_NAME,FULL_NAME,FORENAME,MIDDLE_NAME,SURNAME,PARTY_NAME,VOTES,ELECTED,PAPERS_ISSUED,PAPERS_REJECTED
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Calder,"Atkinson, Joe William",Joe,William,Atkinson,Conservative Party,624,,,82
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Brighouse,"Atkinson, Kim",Kim,,Atkinson,Green Party,317,,,22
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Warley,"Baker, James Douglas",James,Douglas,Baker,Liberal Democrats,1877,Elected,,44
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Ovenden,"Bamforth, Sean",Sean,,Bamforth,Liberal Democrats,249,,,38
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Skircoat,"Barnes, Mike",Mike,,Barnes,Labour & Co-operative Party,1725,Elected,,26
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Elland,"Bashir, bash",bash,,Bashir,Liberal Democrats,486,,,56
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Illingworth and Mixenden,"Beech, Guy",Guy,,Beech,Conservative Party,803,,,33
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Brighouse,"Benton, Scott Lloyd",Scott,Lloyd,Benton,Conservative Party,1910,Elected,,22
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Ovenden,"Booth, David",David,,Booth,Green Party,155,,,38
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Hipperholme and Lightcliffe,"Butterick, Keith John",Keith,John,Butterick,Labour Party,676,,,63
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Luddendenfoot,"Cavanagh, Roisin",Roisin,,Cavanagh,Labour Party,1570,Elected,,64
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Greetland and Stainland,"Clarke, Paul Richard",Paul,Richard,Clarke,Labour Party,384,,,55
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Illingworth and Mixenden,"Clarke, Stephanie",Stephanie,,Clarke,Labour Party,969,Elected,,33
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Calder,"Coleman-Taylor, Ruth Christine",Ruth,Christine,Coleman-Taylor,Liberal Democrats,681,,,82
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Greetland and Stainland,"Cook, Jacob Nathaniel",Jacob,Nathaniel,Cook,Conservative Party,827,,,55
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Elland,"Crossland, Barry Edward",Barry,Edward,Crossland,Green Party,347,,,56
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Sowerby Bridge,"Curtis, Verity Ann",Verity,Ann,Curtis,Green Party,341,,,58
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Todmorden,"Dacre, Silvia",Silvia,,Dacre,Labour Party,1527,Elected,,49
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Ryburn,"Davis, Freda Mary",Freda,Mary,Davis,Green Party,237,,,21
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Ryburn,"Duffy, Cal Stuart",Cal,Stuart,Duffy,Labour Party,413,,,21
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Town,"Edwards, Mark Llewellyn",Mark,Llewellyn,Edwards,Conservative Party,690,,,32
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Skircoat,"Featherstone, Jeff",Jeff,,Featherstone,Conservative Party,1257,,,26
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Elland,"Ford, John Frank Brearley",John,Frank Brearley,Ford,Conservative Party,961,,,56
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Rastrick,"Haigh-Hutchinson, Kathleen",Kathleen,,Haigh-Hutchinson,Liberal Democrats,262,,,61
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Ovenden,"Hardick, Ben Marcus",Ben,Marcus,Hardick,Conservative Party,362,,,38
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Luddendenfoot,"Harrison, Stephne Cavell",Stephne,Cavell,Harrison,Liberal Democrats,553,,,64
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Northowram and Shelf,"Hey, Elaine",Elaine,,Hey,Green Party,331,,,37
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Hipperholme and Lightcliffe,"Hey, Martin John",Martin,John,Hey,Green Party,440,,,63
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Ryburn,"Holden, Robert",Robert,,Holden,Independent,1852,Elected,,21
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Greetland and Stainland,"Holdsworth, Sue",Sue,,Holdsworth,Liberal Democrats,1494,Elected,,55
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Town,"Jack, Polly",Polly,,Jack,Green Party,233,,,32
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Todmorden,"Jackson, Chris",Chris,,Jackson,National Front,152,,,49
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Skircoat,"Jensen, Finn Mygind",Finn,Mygind,Jensen,Green Party,231,,,26
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Rastrick,"Judge, Peter",Peter,,Judge,Labour & Co-operative Party,833,,,61
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Park,"Khan, Naveed",Naveed,,Khan,Conservative Party,268,,,24
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Hipperholme and Lightcliffe,"Kirton, David Eric",David,Eric,Kirton,Conservative Party,1678,Elected,,63
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Illingworth and Mixenden,"Loftus, Sean",Sean,,Loftus,Independent,311,,,33
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Brighouse,"Lumb, Philip",Philip,,Lumb,The Yorkshire Party,517,,,22
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Hipperholme and Lightcliffe,"Manley, Mason",Mason,,Manley,Liberal Democrats,237,,,63
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Northowram and Shelf,"Manning, Daniel Richard",Daniel,Richard,Manning,The Yorkshire Party,342,,,37
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Luddendenfoot,"May, Nicola Jayne",Nicola,Jayne,May,Conservative Party,946,,,64
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Calder,"McDonald, Alan Patrick",Alan,Patrick,McDonald,Green Party,757,,,82
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Greetland and Stainland,"Mullany, Mark Richard",Mark,Richard,Mullany,Green Party,275,,,55
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Illingworth and Mixenden,"Nesbitt, John Richard Ward",John,Richard Ward,Nesbitt,Green Party,170,,,33
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Town,"Parsons-Hulse, Alexander",Alexander,,Parsons-Hulse,Liberal Democrats,120,,,32
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Sowerby Bridge,"Payne, Mike",Mike,,Payne,Conservative Party,1143,,,58
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Rastrick,"Pillai, Chris",Chris,,Pillai,Conservative Party,1488,Elected,,61
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Todmorden,"Pillai, James Aananda",James,Aananda,Pillai,Conservative Party,408,,,49
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Illingworth and Mixenden,"Pittaway, Mark Stephen",Mark,Stephen,Pittaway,Liberal Democrats,119,,,33
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Elland,"Porritt, Victoria Margaret",Victoria,Margaret,Porritt,Labour Party,1090,Elected,,56
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Ovenden,"Redfearn, Jo",Jo,,Redfearn,Independent,228,,,38
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Northowram and Shelf,"Reynolds, John Dennis",John,Dennis,Reynolds,Liberal Democrats,120,,,37
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Town,"Rushworth, Jamie Lee",Jamie,Lee,Rushworth,The For Britain Movement,287,,,32
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Park,"Shoukat, Faisal",Faisal,,Shoukat,Labour Party,3518,Elected,,24
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Sowerby Bridge,"Smith, Audrey",Audrey,,Smith,Labour Party,1250,Elected,,58
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Ovenden,"Smith, Bryan Thomas Raymond",Bryan,Thomas Raymond,Smith,Labour & Co-operative Party,803,Elected,,38
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Warley,"Smith-Moorhouse, Jill",Jill,,Smith-Moorhouse,Conservative Party,383,,,44
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Sowerby Bridge,"Stringfellow, Tom",Tom,,Stringfellow,Liberal Democrats,282,,,58
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Skircoat,"Sutcliffe, Alexander Nigel",Alexander,Nigel,Sutcliffe,Liberal Democrats,239,,,26
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Warley,"Sutcliffe, Helen",Helen,,Sutcliffe,Labour Party,1098,,,44
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Rastrick,"Sweeny, Kate",Kate,,Sweeny,Green Party,340,,,61
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Town,"Swift, Tim",Tim,,Swift,Labour & Co-operative Party,1065,Elected,,32
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Park,"Sykes, Derek Lloyd",Derek,Lloyd,Sykes,Green Party,160,,,24
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Ryburn,"Tatchell, Rosemary",Rosemary,,Tatchell,Liberal Democrats,144,,,21
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Todmorden,"Taylor, Mick",Mick,,Taylor,Liberal Democrats,803,,,49
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Northowram and Shelf,"Taylor, Roger Laurence",Roger,Laurence,Taylor,Conservative Party,1817,Elected,,37
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Ryburn,"Thornber, Robert Ernest",Robert,Ernest,Thornber,Conservative Party,1043,,,21
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Park,"Troke, James Leonard",James,Leonard,Troke,Liberal Democrats,90,,,24
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Todmorden,"Turner, Angharad Lois",Angharad,Lois,Turner,Green Party,441,,,49
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Luddendenfoot,"Turner, Kieran Luke",Kieran,Luke,Turner,Green Party,370,,,64
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Northowram and Shelf,"Wager, David Henry",David,Henry,Wager,Labour Party,568,,,37
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Skircoat,"Wainwright, John Joseph",John,Joseph,Wainwright,Independent,625,,,26
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Brighouse,"Willows, Oliver George",Oliver,George,Willows,Labour Party,662,,,22
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Warley,"Witham, Katie",Katie,,Witham,Green Party,140,,,44
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Calder,"Young, Dave",Dave,,Young,Labour,2517,Elected,,82
